               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078588,            0.043155,            0.014285,              0.6404,             0.16121,             0.14612,             0.05728,            0.065871,            0.021921,           0.0042606,            0.070169,           0.0033145,           0.0033145
                   1,            0.062553,            0.040176,           0.0039156,             0.51134,             0.28453,             0.27673,             0.10573,            0.060591,            0.022056,           0.0019992,             0.04006,           0.0065381,           0.0065381
                   2,            0.059099,            0.040691,           0.0029413,             0.55979,             0.22429,             0.19093,            0.068399,            0.063975,            0.024933,           0.0030145,           0.0098401,           0.0096518,           0.0096518
                   3,            0.057362,            0.042552,           0.0026655,             0.30352,             0.30117,             0.23545,            0.087576,            0.060805,            0.025063,           0.0017355,            0.009505,            0.009505,            0.009505
                   4,            0.055797,            0.041551,           0.0021127,             0.46188,             0.39219,             0.35623,             0.13411,            0.057253,             0.02327,           0.0013847,            0.009505,            0.009505,            0.009505
                   5,            0.054388,            0.041314,           0.0015674,             0.49774,             0.32907,             0.32242,             0.12975,            0.057274,            0.023333,           0.0018265,             0.00934,             0.00934,             0.00934
                   6,             0.05338,            0.041204,           0.0015547,              0.4684,             0.42247,             0.39671,             0.15899,            0.056307,            0.022919,          0.00080936,            0.009175,            0.009175,            0.009175
                   7,            0.053011,            0.040233,           0.0015593,             0.46067,             0.39917,             0.36144,             0.14512,            0.055989,            0.023269,          0.00086844,             0.00901,             0.00901,             0.00901
                   8,            0.052584,             0.04065,           0.0013653,             0.45177,             0.40409,             0.37683,             0.15016,            0.054948,            0.023022,          0.00085309,            0.008845,            0.008845,            0.008845
                   9,            0.052165,            0.039913,           0.0013042,             0.51188,             0.42796,             0.43192,             0.17781,            0.054643,             0.02253,          0.00063883,             0.00868,             0.00868,             0.00868
                  10,            0.051941,            0.039482,             0.00121,             0.47823,             0.44214,             0.43458,             0.18537,            0.053849,            0.022582,          0.00053449,            0.008515,            0.008515,            0.008515
                  11,            0.051818,            0.040128,           0.0010908,             0.54507,             0.43486,             0.44649,             0.19169,            0.053455,            0.022285,          0.00066163,             0.00835,             0.00835,             0.00835
                  12,             0.05102,            0.040386,           0.0010661,             0.53009,             0.47799,             0.46208,             0.19607,            0.053599,            0.022534,           0.0004342,            0.008185,            0.008185,            0.008185
                  13,             0.05091,            0.039313,           0.0011263,             0.53924,              0.4351,             0.43687,              0.1884,            0.053883,             0.02254,           0.0012054,             0.00802,             0.00802,             0.00802
                  14,            0.050754,            0.039671,           0.0011273,             0.50006,             0.48215,             0.45501,             0.19042,            0.053233,            0.022749,           0.0012116,            0.007855,            0.007855,            0.007855
                  15,            0.050373,            0.039355,           0.0011563,             0.46943,             0.44909,               0.424,             0.18591,            0.053557,            0.022719,           0.0023929,             0.00769,             0.00769,             0.00769
                  16,            0.049897,            0.039308,          0.00099612,             0.50491,             0.48739,             0.45829,             0.20071,            0.052726,            0.022235,          0.00040153,            0.007525,            0.007525,            0.007525
                  17,            0.049545,            0.038392,           0.0009224,             0.54736,              0.4739,             0.47448,             0.20483,            0.052735,            0.022431,          0.00037682,             0.00736,             0.00736,             0.00736
                  18,            0.049575,            0.038692,          0.00094867,             0.55928,             0.47383,             0.48689,             0.20991,            0.052496,            0.022065,          0.00047252,            0.007195,            0.007195,            0.007195
                  19,            0.049227,            0.037882,          0.00090867,              0.5504,             0.47101,             0.47857,             0.21445,            0.052866,            0.022213,          0.00034409,             0.00703,             0.00703,             0.00703
                  20,            0.049669,            0.038582,          0.00090086,             0.55614,             0.52083,             0.50362,             0.22189,            0.051972,            0.022177,          0.00042162,            0.006865,            0.006865,            0.006865
                  21,            0.048953,            0.037586,          0.00083431,              0.5461,             0.50099,             0.49203,             0.21384,            0.052139,            0.022271,          0.00043066,              0.0067,              0.0067,              0.0067
                  22,            0.049047,              0.0376,          0.00091941,              0.5373,             0.49682,             0.48536,             0.21823,            0.052018,            0.022091,          0.00032283,            0.006535,            0.006535,            0.006535
                  23,            0.048211,            0.037746,          0.00078824,             0.56364,             0.49301,             0.49741,             0.22273,            0.051947,            0.022145,          0.00044167,             0.00637,             0.00637,             0.00637
                  24,            0.048079,            0.037317,          0.00086169,             0.55678,             0.49596,             0.48594,             0.21496,            0.052304,            0.022256,          0.00046977,            0.006205,            0.006205,            0.006205
                  25,            0.048021,            0.037889,          0.00071427,             0.53323,             0.52127,             0.49975,             0.22564,            0.051428,            0.022195,          0.00031496,             0.00604,             0.00604,             0.00604
                  26,            0.047655,            0.037901,          0.00082446,             0.55691,             0.50661,              0.5036,             0.22584,            0.051866,            0.022316,          0.00049788,            0.005875,            0.005875,            0.005875
                  27,             0.04773,            0.037608,          0.00067877,             0.55391,             0.48667,             0.48544,             0.22137,            0.052096,            0.022576,          0.00053023,             0.00571,             0.00571,             0.00571
                  28,            0.047224,            0.037294,          0.00077403,             0.56345,             0.50131,             0.50856,             0.22999,            0.051951,            0.022529,           0.0003205,            0.005545,            0.005545,            0.005545
                  29,            0.047327,            0.037124,          0.00066943,             0.57406,             0.50607,              0.5187,             0.23034,            0.051419,             0.02211,          0.00031528,             0.00538,             0.00538,             0.00538
                  30,            0.046811,            0.036598,          0.00065758,             0.59574,              0.4955,             0.52285,             0.23657,            0.051499,            0.022238,          0.00052558,            0.005215,            0.005215,            0.005215
                  31,            0.046597,            0.036874,          0.00073416,             0.55551,             0.50306,             0.51109,             0.23857,            0.051902,            0.021944,          0.00037662,             0.00505,             0.00505,             0.00505
                  32,            0.046659,            0.036722,          0.00060518,             0.56717,             0.51818,             0.52964,             0.24354,             0.05129,            0.021986,          0.00028511,            0.004885,            0.004885,            0.004885
                  33,            0.046277,             0.03634,          0.00056451,              0.5652,              0.4949,             0.51199,             0.23689,            0.051725,            0.022413,          0.00031582,             0.00472,             0.00472,             0.00472
                  34,            0.045976,            0.035951,          0.00057291,             0.61821,             0.51887,             0.53957,             0.24927,            0.051014,            0.022474,          0.00032086,            0.004555,            0.004555,            0.004555
                  35,            0.045987,             0.03654,           0.0005756,             0.55971,             0.53019,              0.5188,              0.2426,            0.051284,            0.022608,          0.00053525,             0.00439,             0.00439,             0.00439
                  36,            0.045971,            0.035907,          0.00060942,             0.57985,             0.53833,             0.52236,             0.24722,            0.051087,            0.022292,          0.00039381,            0.004225,            0.004225,            0.004225
                  37,            0.045446,            0.035866,           0.0005872,             0.60331,             0.52401,             0.53494,             0.25235,            0.051519,            0.022569,          0.00029266,             0.00406,             0.00406,             0.00406
                  38,            0.045174,            0.035639,          0.00055248,             0.63626,             0.51615,             0.54505,             0.25375,            0.050792,            0.022684,          0.00040111,            0.003895,            0.003895,            0.003895
                  39,            0.044795,            0.034957,          0.00056708,             0.61729,              0.5202,             0.54429,             0.25525,            0.050976,            0.022433,          0.00024377,             0.00373,             0.00373,             0.00373
                  40,            0.044915,            0.034887,          0.00052413,             0.60085,             0.52541,             0.54308,             0.25544,            0.051032,            0.022437,          0.00030878,            0.003565,            0.003565,            0.003565
                  41,            0.044667,            0.034941,          0.00048625,             0.58148,             0.54552,             0.54172,             0.25798,            0.050816,            0.022373,           0.0002147,              0.0034,              0.0034,              0.0034
                  42,            0.044413,            0.035041,          0.00050424,             0.58804,             0.55615,             0.54962,             0.25658,             0.05084,            0.022659,          0.00028284,            0.003235,            0.003235,            0.003235
                  43,            0.044205,            0.034479,          0.00048399,             0.57981,             0.53812,             0.54678,              0.2601,            0.051121,            0.022585,          0.00024896,             0.00307,             0.00307,             0.00307
                  44,            0.044096,            0.035142,            0.000452,             0.59848,             0.54534,             0.55222,             0.25901,             0.05081,            0.022528,          0.00029234,            0.002905,            0.002905,            0.002905
                  45,            0.043942,            0.034221,          0.00049483,             0.60064,             0.53853,             0.55568,             0.26215,            0.051137,            0.022694,          0.00031417,             0.00274,             0.00274,             0.00274
                  46,            0.043696,            0.034201,          0.00046123,             0.63234,             0.51563,             0.55118,               0.261,            0.051223,            0.022829,          0.00030509,            0.002575,            0.002575,            0.002575
                  47,            0.043116,            0.034124,          0.00043464,             0.61308,             0.55524,             0.56247,             0.26539,            0.050991,            0.022769,          0.00030601,             0.00241,             0.00241,             0.00241
                  48,            0.043026,            0.033354,          0.00041909,             0.60089,             0.54635,             0.55796,             0.26069,            0.050948,            0.022729,          0.00026246,            0.002245,            0.002245,            0.002245
                  49,            0.043054,            0.033819,          0.00043088,             0.58523,             0.57206,             0.55605,             0.26084,            0.051251,            0.022903,          0.00025558,             0.00208,             0.00208,             0.00208
                  50,            0.042847,            0.033757,          0.00040233,             0.59551,             0.55299,             0.55889,             0.26198,            0.051011,            0.022899,          0.00029738,            0.001915,            0.001915,            0.001915
                  51,             0.04282,            0.033855,           0.0004623,             0.60161,             0.56748,             0.55923,             0.26445,            0.051192,            0.022986,          0.00031063,             0.00175,             0.00175,             0.00175
                  52,            0.042353,             0.03302,          0.00041971,             0.60944,             0.56784,             0.55602,             0.26537,            0.051447,            0.023025,          0.00031518,            0.001585,            0.001585,            0.001585
                  53,            0.041978,            0.033057,          0.00035538,             0.61671,             0.56669,             0.55863,             0.26574,            0.051365,            0.023088,          0.00032719,             0.00142,             0.00142,             0.00142
                  54,            0.041691,            0.032882,          0.00037113,             0.59793,             0.56403,             0.55545,             0.26585,            0.051374,            0.023184,          0.00033626,            0.001255,            0.001255,            0.001255
                  55,            0.041772,            0.032448,          0.00035856,             0.60116,             0.56562,             0.54944,             0.26385,            0.051426,            0.023299,          0.00030951,             0.00109,             0.00109,             0.00109
                  56,            0.041347,            0.032643,          0.00037691,             0.58232,             0.56436,             0.55072,              0.2649,             0.05141,            0.023334,          0.00029967,            0.000925,            0.000925,            0.000925
                  57,             0.04139,            0.032409,          0.00032394,              0.5966,             0.57346,             0.55173,             0.26431,            0.051545,            0.023422,          0.00031656,             0.00076,             0.00076,             0.00076
                  58,            0.040729,            0.031635,          0.00037862,             0.58798,             0.58556,             0.55211,             0.26483,            0.051612,            0.023515,          0.00032678,            0.000595,            0.000595,            0.000595
                  59,            0.040536,            0.031972,          0.00033919,             0.60415,             0.57344,             0.55598,             0.26701,            0.051669,            0.023582,          0.00032925,             0.00043,             0.00043,             0.00043
